...1,airt,rh,parr,bar,datetime_posx,Tree,DATE,H2O,CO2,CH4,ERROR,ERROR_comment,REMARK_LENGTH,PLOT,SPECIES,DBH,OLD_TAG,MEAN_DEPTH,vol_system,nmol,surfarea,CO2_r2,CH4_r2,CO2_SE,CH4_SE,CO2_flux_umolpm2ps,CH4_flux_nmolpm2ps,year,jday,UniqueID,qa_check,date,location,days_since_last,new_round,sampling_round,species_label
501,14.1,100,0,1014,2023-06-29T02:03:00Z,412,NA,NA,NA,NA,NA,NA,NA,BGS,bg,19.4,NA,NA,NA,NA,NA,0.981574962311106,0.74531081837207,6.02924804173577e-5,1.60435213231092e-7,0.726222855,0.45291048796248,2023,180,1-Jan,good,2023-06-29,Wetland,0,FALSE,1,N. sylvatica
502,14,100,0,1014,2023-06-29T02:19:00Z,413,NA,NA,NA,NA,NA,NA,NA,BGS,rm,26,NA,NA,NA,NA,NA,0.999760656132736,0.66356538800322,3.12181297771621e-5,5.15777171736821e-8,4.30330420133146,0.15449411508828,2023,180,1-Mar,good,2023-06-29,Wetland,0,FALSE,1,A. rubrum
503,19.8,78,1160,1017,2023-06-29T09:44:00Z,880,NA,NA,NA,NA,NA,NA,NA,E5,ro,39.55,NA,NA,NA,NA,NA,0.998279183690256,0.500212585285632,1.64135515421916e-5,3.41672823289602e-8,1.06832806017841,0.09237158739573109,2023,180,880-1,good,2023-06-29,Upland,0,FALSE,1,Q. rubra
504,19.9,80,1085,1017,2023-06-29T10:01:00Z,903,NA,NA,NA,NA,NA,NA,NA,E5,ro,34.78,NA,NA,NA,NA,NA,0.999848174158938,6.9981925829231e-4,1.21933073264158e-5,3.24944480857591e-8,2.50426020308778,0.0021762955669909203,2023,180,903-1,good,2023-06-29,Upland,0,FALSE,1,Q. rubra
505,20.3,78,1163,1017,2023-06-29T10:12:00Z,905,NA,NA,NA,NA,NA,NA,NA,E5,hem,23.93,NA,NA,NA,NA,NA,0.990402643222313,0.152881755694744,1.19776802983574e-5,2.81191242429005e-8,0.30757436803818,0.030196384848355098,2023,180,905-1,good,2023-06-29,Upland,0,FALSE,1,T. canadensis
506,21.1,74,934,1017,2023-06-29T10:54:00Z,429,NA,NA,NA,NA,NA,NA,NA,BGS,hem,18.5,NA,NA,NA,NA,NA,0.998723887008441,0.032877792,2.06943533587343e-5,3.61124122292792e-8,1.23683949321004,0.0142249410204573,2023,180,16-1,good,2023-06-29,Wetland,0,FALSE,1,T. canadensis
507,20.7,77,973,1017,2023-06-29T11:24:00Z,427,NA,NA,NA,NA,NA,NA,NA,BGS,bg,19.6,NA,NA,NA,NA,NA,0.96645515587253,0.943486835670637,3.7848018517492e-5,1.15053029246596e-7,0.335251191712321,0.77578322728619,2023,180,14-1,good,2023-06-29,Wetland,0,FALSE,1,N. sylvatica
508,23.5,64,1658,1020,2023-06-30T09:50:00Z,318,NA,NA,NA,NA,NA,NA,NA,H1,rm,25.94,NA,NA,NA,NA,NA,0.999642499082414,0.170347311504736,2.38664683668277e-5,5.60142260686713e-8,2.69172216943196,0.0541347475906403,2023,181,318-1,good,2023-06-30,Upland,1,FALSE,1,A. rubrum
509,24.2,64,1449,1020,2023-06-30T10:09:00Z,309,NA,NA,NA,NA,NA,NA,NA,H1,ro,39.76,NA,NA,NA,NA,NA,0.996562006857867,0.003397017,1.87875576417306e-5,4.65488764660328e-8,0.80856946025911,-0.00687,2023,181,309-1,good,2023-06-30,Upland,0,FALSE,1,Q. rubra
510,23.9,65,1650,1020,2023-06-30T10:27:00Z,302,NA,NA,NA,NA,NA,NA,NA,H1,ro,41.4,NA,NA,NA,NA,NA,0.975873102303681,0.00923719,8.96001479143554e-5,4.09666144888866e-8,1.33360929044558,0.00925740210966421,2023,181,302-1,good,2023-06-30,Upland,0,FALSE,1,Q. rubra
